Store Number,Address,City,State,Zip Code,Phone Number,Fax Number,Email Address,Store Hours,Services,Latitude,Longitude
US677,499 Electric Ave.,Fitchburg,MA,1420,(978-353-1800),978-353-1801,store677@verizon.net, Monday-Friday9am - 5:30pm Saturday9am - 1:30pm Sundayclosed ," Custom crating and packing: any size, any weight Domestic and international shipping by air, ground, or ocean Freight and specialty shipping Wide selection of carriers      UPS, USPS, FedEx, YRC, ABF, DHL Shipping and receiving Packaging and moving supplies Faxing, photocopying Mailbox rental Business and residential mail services      forwarding, receiving, sorting, metering, stamps Notary public Local pick up and delivery service ",42.567073,-71.813409
US799,304 West Main Street,Avon,CT,6001,(860-674-8698),860-674-8928,US799@pakmail.org, Monday-Friday9:00am - 6:00pm Saturday10:00am - 4:00pm Sundayclosed ," Custom crating and packing: any size, any weight Domestic and international shipping by air, ground, or ocean Freight and specialty shipping Wide selection of carriers      UPS, USPS, FedEx, YRC, ABF, DHL Shipping and receiving Packaging and moving supplies Internet quoting and tracking Fulfillment services Faxing, photocopying Mailbox rental Business and residential mail services      forwarding, receiving, sorting, metering, stamps Business printing and stationery Local pick up and delivery service ",41.81389,-72.857268
US113,1245 Farmington Ave.,West Hartford,CT,6107,(860-561-1369),860-561-1359,info@pakmailct.com, Monday-Friday9am - 6pm Saturday9am - 3pm SundayClosed ," Custom crating and packing: any size, any weight Domestic and international shipping by air, ground, or ocean Freight and specialty shipping Wide selection of carriers      UPS, USPS, FedEx, YRC, ABF, DHL Shipping and receiving Packaging and moving supplies Internet quoting and tracking Faxing, photocopying Mailbox rental Business and residential mail services      forwarding, receiving, sorting, metering, stamps Business document finishing      collation, bindery, lamination Local pick up and delivery service ",41.754416,-72.767066
US825,902 Oak Tree Road,South Plainfield ,NJ,7080,(908-444-8075),908-279-6227,US825@pakmail.org, Monday-Friday8:30am - 6:00pm Saturday10:00am - 4:00pm Sunday ," Custom crating and packing: any size, any weight Domestic and international shipping by air, ground, or ocean Freight and specialty shipping Wide selection of carriers      UPS, USPS, FedEx, YRC, ABF, DHL Shipping and receiving Packaging and moving supplies Internet quoting and tracking Fulfillment services Faxing, photocopying Mailbox rental Business and residential mail services      forwarding, receiving, sorting, metering, stamps Business document finishing      collation, bindery, lamination Business printing and stationery Notary public Local pick up and delivery service ",40.577199,-74.388734
US811,319 Route 130N,East Windsor,NJ,8520,(609-443-6245),609-443-6201,mike@msbsales.biz, Monday-Friday9am -6pm Saturday10am - 4pm Sundayclosed ," Custom crating and packing: any size, any weight Domestic and international shipping by air, ground, or ocean Freight and specialty shipping Wide selection of carriers      UPS, USPS, FedEx, YRC, ABF, DHL Shipping and receiving Packaging and moving supplies Internet quoting and tracking Fulfillment services Faxing, photocopying Mailbox rental Notary public Local pick up and delivery service ",40.270841,-74.540031
US829,"20120 Route 19, Suite 105",Cranberry Township,PA,16066,(724-742-1110),724-742-1115,us829@pakmail.org, Monday-Friday9:30 AM - 5:30 PM Saturday9:30 AM - 1:30 PM SundayClosed ," Custom crating and packing: any size, any weight Domestic and international shipping by air, ground, or ocean Freight and specialty shipping Wide selection of carriers      UPS, USPS, FedEx, YRC, ABF, DHL Shipping and receiving Packaging and moving supplies Internet quoting and tracking Fulfillment services Faxing, photocopying Mailbox rental Business and residential mail services      forwarding, receiving, sorting, metering, stamps Local pick up and delivery service Specializing in nationwide auto shipping! ",40.683515,-80.100389
US555,1700 Sullivan Trail #7,Easton,PA,18040,(610-330-6730),610-330-6731,japakmail@earthlink.net, Monday-Friday9:30am - 6pm Saturday9:30am - 12:30pm Sundayclosed , Custom crating and Packing ,40.716686,-75.221011
US756,12647 Galveston Court,Manassas,VA,20112,(703-730-2556),703-730-2557,sam@seglobalshippers.com, Monday-Friday10am - 6:30pm Saturday10am - 4:30pm Sundayclosed , Contact the store for information on available services. ,38.68105,-77.36059
US382,21800 N Shangri La Dr. Unit #3,Lexington Park,MD,20653,(301-863-9812),301-863-4859,US382@pakmail.org, Monday-Friday9am - 5:45pm Saturday10am - 2pm Sundayclosed ," Custom crating and packing: any size, any weight Domestic and international shipping by air, ground, or ocean Freight and specialty shipping Wide selection of carriers      UPS, USPS, FedEx, YRC, ABF, DHL Packaging and moving supplies Faxing, photocopying Mailbox rental Notary public ",38.26496,-76.45727
US721,10070 Darnestown Road #23,Rockville,MD,20850,(301-610-0600),301-610-0603,us721@pakmail.org, Monday-Friday9am - 6pm Saturday10am - 3pm Sundayclosed , Contact the store for information on available services. ,39.096656,-77.204765
